Feature,Mean SRR014335-sort-c1x.sam,Mean SRR014336-sort-c1x.sam,Mean SRR014337-sort-c1x.sam,Mean SRR014339-sort-c1x.sam,Mean SRR014340-sort-c1x.sam,Mean SRR014341-sort-c1x.sam
YAL069W,1,2,2,0,2,2
YAL068W-A,0,1,3,0,1,1
PAU8,2,2,3,2,3,3
YAL067W-A,0,0,0,0,0,1
SEO1,1,1,1,19,19,32
YAL066W,0,0,0,1,0,0
YAL065C,7,6,14,12,9,15
YAL064W-B,7,6,10,14,14,15
YAL064C-A,9,4,9,17,24,8
YAL064W,0,0,0,2,7,2
YAL063C-A,1,1,3,1,0,1
FLO9,101,104,137,142,142,137
GDH3,190,187,221,65,56,55
BDH2,798,794,848,295,317,313
BDH1,501,499,533,263,259,250
YAL059C-A,7,15,7,25,32,32
ECM1,16,14,13,46,47,50
CNE1,87,101,122,93,92,95
YAL056C-A,24,13,28,20,15,21
GPB2,222,226,245,221,226,223
PEX22,23,21,30,64,51,68
ACS1,162,164,203,98,105,100
FLC2,668,644,705,320,335,327
OAF1,150,139,148,113,120,110
YAL049C,121,104,126,120,117,112
GEM1,127,148,153,153,110,125
YAL047W-A,15,27,13,14,15,24
SPC72,19,27,30,84,74,83
YAL046C,55,61,53,73,61,60
YAL045C,48,47,49,81,71,74
YAL044W-A,51,57,59,97,97,83
GCV3,146,154,153,143,157,150
PTA1,528,542,604,325,297,309
YAL042C-A,147,146,144,86,98,85
ERV46,513,526,550,292,300,293
CDC24,245,258,286,245,231,237
CLN3,356,369,398,288,309,284
CYC3,91,67,88,86,78,95
CDC19,1327,1303,1323,1017,1011,994
YAL037C-B,813,822,851,613,610,633
YAL037C-A,1,2,0,8,4,7
YAL037W,23,32,28,66,57,57
RBG1,66,71,82,125,152,123
FUN12,406,375,424,458,460,436
YAL034C-B,3,5,7,12,15,12
MTW1,18,12,23,43,31,48
FUN19,335,337,337,257,283,275
POP5,22,18,21,48,44,51
PRP45,125,128,133,96,92,77
YAL031W-A,25,22,40,27,23,27
GIP4,164,172,179,135,125,127
SNC1,85,70,99,72,67,66
MYO4,300,310,386,379,410,380
FRT2,135,139,134,107,104,121
YAL027W,36,28,36,63,67,65
YAL026C-A,29,22,26,29,30,31
DRS2,263,293,294,218,240,217
MAK16,11,17,19,78,85,91
LTE1,56,55,82,83,88,73
PMT2,509,494,573,235,251,242
FUN26,182,190,208,163,139,159
CCR4,261,264,308,119,137,120
ATS1,134,116,145,88,86,72
YAL019W-A,70,60,82,55,57,41
FUN30,128,124,134,127,118,128
YAL018C,2,6,4,5,3,3
PSK1,506,534,561,356,359,343
YAL016C-B,11,12,13,12,11,12
YAL016C-A,82,74,79,71,72,62
TPD3,405,394,436,399,400,375
NTG1,108,116,130,199,198,171
SYN8,84,92,116,54,51,57
DEP1,100,95,106,60,54,73
CYS3,507,497,554,289,299,280
SWC3,49,54,45,59,50,49
MDM10,53,46,61,92,115,84
SPO7,112,95,114,102,100,103
FUN14,59,60,74,97,105,100
ERP2,91,92,106,94,102,116
SSA1,1536,1563,1610,1239,1237,1244
YAL004W,473,479,499,369,370,367
EFB1,368,348,381,520,533,514
VPS8,230,232,255,184,179,205
TFC3,148,134,155,331,312,294
NUP60,135,120,139,218,232,220
ERP1,151,147,165,204,201,203
SWD1,172,152,185,192,197,184
RFA1,203,203,209,154,149,130
SEN34,12,13,19,35,39,33
YAR009C,299,284,339,294,285,302
YAR010C,121,107,138,130,112,102
BUD14,190,153,185,165,203,191
ADE1,59,77,72,87,101,97
KIN3,19,31,19,34,39,42
CDC15,158,157,170,139,155,140
YAR019W-A,14,20,12,9,12,10
PAU7,7,13,15,7,9,8
YAR023C,30,31,35,33,41,42
UIP3,143,123,147,128,156,145
YAR028W,39,41,37,41,54,49
YAR029W,10,5,11,5,5,6
YAR030C,11,16,12,16,10,15
PRM9,89,88,107,72,79,76
MST28,60,53,58,60,49,46
YAT1,28,24,35,20,30,30
YAR035C-A,0,0,0,0,1,0
SWH1,187,191,211,111,116,115
YAR047C,0,0,0,10,7,7
FLO1,115,120,106,171,181,179
YAR053W,1,1,0,9,9,9
YAR060C,2,0,2,1,1,4
YAR064W,1,0,2,3,6,8
YAR066W,39,40,60,31,31,27
YAR068W,46,51,39,47,33,33
YAR069C,1,0,0,2,0,4
YAR070C,0,1,0,0,5,4
PHO11,28,25,31,38,45,34
IMD1,10,19,15,42,34,32
YAR075W,7,5,7,19,17,15
